"id","c_date","campaign_name","category","campaign_id","impressions","mark_spent","clicks","leads","orders","revenue"
43,"2021-01-04","instagram_blogger","influencer",374754,24344775,365398,22712,3526,20,717029
44,"2021-01-04","banner_partner","media",39889,11316868,366113,76788,146,108,272363
45,"2021-01-05","facebook_tier1","social",349043,4655417,91416,276023,2276,75,686305
46,"2021-01-05","facebOOK_tier2","social",348934,6713718,674338,197,652,182,677793
47,"2021-01-05","google_hot","search",89459845,7737033,78900,32180,1163,5,257063
48,"2021-01-05","google_wide","search",127823,15704877,87668,2912,1177,178,162995
49,"2021-01-05","youtube_blogger","influencer",10934,8758492,187971,104618,976,64,530475
50,"2021-01-05","instagram_tier1","social",9034945,7858390,11819,32478,1224,275,2170126
51,"2021-01-05","instagram_tier2","social",983498,6400419,128125,41627,2198,14,1549826
52,"2021-01-05","facebook_retargeting","social",4387490,14993091,254920,124092,1774,56,1245083
53,"2021-01-05","facebook_lal","social",544756,10431105,334121,61776,865,114,1051554
54,"2021-01-05","instagram_blogger","influencer",374754,16003212,55140,42188,24,13,1743357
55,"2021-01-05","banner_partner","media",39889,14654249,42503,35566,52,27,274210
56,"2021-01-06","facebook_tier1","social",349043,4412715,471815,221946,2276,203,596273
57,"2021-01-06","facebOOK_tier2","social",348934,17976344,234526,32468,75,25,3694797
58,"2021-01-06","google_hot","search",89459845,20845123,632450,23230,636,157,945910
59,"2021-01-06","google_wide","search",127823,11342652,299881,219162,1998,157,489830
60,"2021-01-06","youtube_blogger","influencer",10934,12574671,43896,19634,1003,32,546903
61,"2021-01-06","instagram_tier1","social",9034945,7947227,143776,20351,7483,12,382696
62,"2021-01-06","instagram_tier2","social",983498,23192718,14730,134327,4272,125,1211727
63,"2021-01-06","facebook_retargeting","social",4387490,4538876,260606,90561,1542,355,262678
64,"2021-01-06","facebook_lal","social",544756,10037025,134865,17649,1229,2,1343196
65,"2021-01-06","instagram_blogger","influencer",374754,10298846,369236,93115,323,46,716112
66,"2021-01-06","banner_partner","media",39889,13721778,299393,133361,1098,121,939108
67,"2021-01-07","facebook_tier1","social",349043,23706170,624435,22235,1583,58,2910135
68,"2021-01-07","facebOOK_tier2","social",348934,6069235,95970,45001,10188,128,434254
69,"2021-01-07","google_hot","search",89459845,5703990,725187,43648,72,161,110724
70,"2021-01-07","google_wide","search",127823,14894363,131816,128187,261,281,634111
71,"2021-01-07","youtube_blogger","influencer",10934,15764737,192299,21232,1217,216,332136
72,"2021-01-07","instagram_tier1","social",9034945,16812735,378639,225072,866,191,425347
73,"2021-01-07","instagram_tier2","social",983498,11318997,711330,201238,168,106,105293
74,"2021-01-07","facebook_retargeting","social",4387490,17104001,54577,110620,360,82,1556535
75,"2021-01-07","facebook_lal","social",544756,5174749,33353,149,815,67,1261555
76,"2021-01-07","instagram_blogger","influencer",374754,20932627,19242,282043,11623,429,1956366
77,"2021-01-07","banner_partner","media",39889,6374981,274979,66764,3076,8,917230
78,"2021-01-08","facebook_tier1","social",349043,4991201,197675,152690,1779,265,222048
79,"2021-01-08","facebOOK_tier2","social",348934,8889520,328688,6372,3751,401,456571
80,"2021-01-08","google_hot","search",89459845,9418962,994601,5794,1000,98,238777
81,"2021-01-08","google_wide","search",127823,8976036,328096,38914,1741,436,2950609
82,"2021-01-08","youtube_blogger","influencer",10934,11529938,126005,175950,1237,41,889186
83,"2021-01-08","instagram_tier1","social",9034945,15891736,950835,233281,178,68,163029
84,"2021-01-08","instagram_tier2","social",983498,11461740,89659,2809,812,71,369003
85,"2021-01-08","facebook_retargeting","social",4387490,12399080,407422,35118,2575,267,1826073
86,"2021-01-08","facebook_lal","social",544756,3998465,455482,191346,20,5,380447
87,"2021-01-08","instagram_blogger","influencer",374754,11146893,293024,18756,1921,122,1097074
88,"2021-01-08","banner_partner","media",39889,5248130,812595,282422,2120,18,3972062
89,"2021-01-09","facebook_tier1","social",349043,5279206,24848,9368,375,24,2189211
90,"2021-01-09","facebOOK_tier2","social",348934,2372849,279549,14717,7078,466,397385
91,"2021-01-09","google_hot","search",89459845,24251476,364362,15295,2068,155,2451064
92,"2021-01-09","google_wide","search",127823,14901892,350970,191777,2570,173,185459
93,"2021-01-09","youtube_blogger","influencer",10934,15874617,86939,276465,1660,140,1759296
94,"2021-01-09","instagram_tier1","social",9034945,6120997,385001,243822,1007,297,597430
95,"2021-01-09","instagram_tier2","social",983498,20837338,348758,12621,11895,323,900507
96,"2021-01-09","facebook_retargeting","social",4387490,17320103,197670,191155,11480,22,671973
97,"2021-01-09","facebook_lal","social",544756,11309475,1280277,58526,166,22,1667442
98,"2021-01-09","instagram_blogger","influencer",374754,7114283,834912,30953,3319,139,340607
99,"2021-01-09","banner_partner","media",39889,12765298,138793,25548,1711,158,784433
100,"2021-01-10","facebook_tier1","social",349043,10475509,358398,8423,73,51,1045368
101,"2021-01-10","facebOOK_tier2","social",348934,4809842,137116,55912,1064,59,72662
102,"2021-01-10","google_hot","search",89459845,5946695,287291,7524,1545,141,584314
103,"2021-01-10","google_wide","search",127823,12891508,242493,18408,89,382,2041997
104,"2021-01-10","youtube_blogger","influencer",10934,3377353,883402,104770,5353,77,1275454
105,"2021-01-10","instagram_tier1","social",9034945,15796971,427673,279925,603,71,76725
106,"2021-01-10","instagram_tier2","social",983498,2256680,193325,125656,1122,127,1468196
107,"2021-01-10","facebook_retargeting","social",4387490,8954364,432677,17982,5978,97,420489
108,"2021-01-10","facebook_lal","social",544756,14933691,118748,34090,1136,357,368960
109,"2021-01-10","instagram_blogger","influencer",374754,16249755,479703,11754,4360,112,2274652
110,"2021-01-10","banner_partner","media",39889,9690503,1365441,52481,712,223,749613
111,"2021-01-11","facebook_tier1","social",349043,7515804,44995,178449,819,279,779564
112,"2021-01-11","facebOOK_tier2","social",348934,15378529,625693,143434,1641,298,553209
113,"2021-01-11","google_hot","search",89459845,10588720,1052967,36682,307,47,1088321
114,"2021-01-11","google_wide","search",127823,13630563,237270,77631,715,109,515789
115,"2021-01-11","youtube_blogger","influencer",10934,6606454,216406,151914,3100,53,1272922
116,"2021-01-11","instagram_tier1","social",9034945,19668325,10554,65153,3131,88,2115442
117,"2021-01-11","instagram_tier2","social",983498,10703091,73222,25332,378,78,1926585
118,"2021-01-11","facebook_retargeting","social",4387490,3163732,134959,273122,260,290,804659
119,"2021-01-11","facebook_lal","social",544756,16887329,606655,8969,2127,85,236255
120,"2021-01-11","instagram_blogger","influencer",374754,17381499,1600352,272997,864,5,159337
121,"2021-01-11","banner_partner","media",39889,10743967,178400,39105,472,133,125886
122,"2021-01-12","facebook_tier1","social",349043,8625140,223804,8576,1410,311,124228
123,"2021-01-12","facebOOK_tier2","social",348934,9337423,172511,6035,2307,3,189393
124,"2021-01-12","google_hot","search",89459845,7698395,182878,744,407,26,732949
125,"2021-01-12","google_wide","search",127823,12822594,109510,9816,256,61,1495653
126,"2021-01-12","youtube_blogger","influencer",10934,12178865,102280,76089,4504,71,648282
127,"2021-01-12","instagram_tier1","social",9034945,12019873,75849,6304,1072,40,127739
128,"2021-01-12","instagram_tier2","social",983498,6649175,4772,34046,1437,151,1309809
129,"2021-01-12","facebook_retargeting","social",4387490,24966451,262925,116723,2081,67,1178410
130,"2021-01-12","facebook_lal","social",544756,17103190,152633,73530,4894,5,2361573
131,"2021-01-12","instagram_blogger","influencer",374754,12506983,356879,26919,3065,84,9870
132,"2021-01-12","banner_partner","media",39889,9756202,275638,53297,1880,15,1164457
133,"2021-01-13","facebook_tier1","social",349043,5480007,108485,7652,373,288,417788
134,"2021-01-13","facebOOK_tier2","social",348934,9301198,503206,16368,5026,56,474384
135,"2021-01-13","google_hot","search",89459845,17214890,588780,106002,525,12,838293
136,"2021-01-13","google_wide","search",127823,10812439,473837,18892,2310,211,340768
137,"2021-01-13","youtube_blogger","influencer",10934,5807977,675663,25940,1090,70,1554580
138,"2021-01-13","instagram_tier1","social",9034945,21313148,21248,119300,184,56,3283119
139,"2021-01-13","instagram_tier2","social",983498,15914985,4611,114715,10147,336,1607320
140,"2021-01-13","facebook_retargeting","social",4387490,23520738,707220,131262,946,35,129022
141,"2021-01-13","facebook_lal","social",544756,7140347,192107,16691,1537,63,49301
142,"2021-01-13","instagram_blogger","influencer",374754,7725041,362020,18907,3907,283,35931
143,"2021-01-13","banner_partner","media",39889,4108373,1607647,34008,721,300,1920185
144,"2021-01-14","facebook_tier1","social",349043,10788433,1718450,68988,761,16,122526
145,"2021-01-14","facebOOK_tier2","social",348934,18116120,1650128,140278,1297,186,506495
146,"2021-01-14","google_hot","search",89459845,4114540,631155,33803,287,438,3429195
147,"2021-01-14","google_wide","search",127823,9200888,259046,294180,3283,305,113176
148,"2021-01-14","youtube_blogger","influencer",10934,5024592,648239,75898,546,7,1527344
149,"2021-01-14","instagram_tier1","social",9034945,15261960,645095,50370,5533,7,292324
150,"2021-01-14","instagram_tier2","social",983498,22802662,347684,6216,526,275,575986
151,"2021-01-14","facebook_retargeting","social",4387490,7829856,400434,16398,566,74,447528
152,"2021-01-14","facebook_lal","social",544756,16930855,448579,180085,233,170,411121
153,"2021-01-14","instagram_blogger","influencer",374754,12275719,1130324,117225,810,241,181801
154,"2021-01-14","banner_partner","media",39889,10359738,9451,16294,1566,68,796488
155,"2021-01-15","facebook_tier1","social",349043,5326698,1480760,30028,469,21,196209
156,"2021-01-15","facebOOK_tier2","social",348934,8128575,583515,2264,1393,68,1237781
157,"2021-01-15","google_hot","search",89459845,17382236,157989,48534,2398,34,158718
158,"2021-01-15","google_wide","search",127823,1980540,236164,240844,1013,155,407212
159,"2021-01-15","youtube_blogger","influencer",10934,5173399,337962,183409,1701,59,136096
160,"2021-01-15","instagram_tier1","social",9034945,21671026,162628,125767,1267,54,380092
161,"2021-01-15","instagram_tier2","social",983498,9274689,539745,61972,4763,113,508162
162,"2021-01-15","facebook_retargeting","social",4387490,11562873,323463,159226,10439,243,1751421
163,"2021-01-15","facebook_lal","social",544756,10580928,206956,166431,4964,38,372000
164,"2021-01-15","instagram_blogger","influencer",374754,7455015,217082,131717,639,136,29847
165,"2021-01-15","banner_partner","media",39889,8282243,437692,77649,1119,77,764859
166,"2021-01-16","facebook_tier1","social",349043,8543195,1432268,72856,1348,47,744522
167,"2021-01-16","facebOOK_tier2","social",348934,14916197,336988,46960,2247,76,1117271
168,"2021-01-16","google_hot","search",89459845,8101760,234514,39916,162,64,223785
169,"2021-01-16","google_wide","search",127823,3238219,119119,11753,10568,304,2836835
170,"2021-01-16","youtube_blogger","influencer",10934,3813848,311586,173675,767,83,113910
171,"2021-01-16","instagram_tier1","social",9034945,11686195,145012,37118,3370,22,61727
172,"2021-01-16","instagram_tier2","social",983498,5108827,697319,32669,2365,217,1512823
173,"2021-01-16","facebook_retargeting","social",4387490,23134411,684307,39936,164,111,2634170
174,"2021-01-16","facebook_lal","social",544756,20459381,1363419,4899,1557,90,647609
175,"2021-01-16","instagram_blogger","influencer",374754,22595512,64377,641,955,10,1268827
176,"2021-01-16","banner_partner","media",39889,2543520,209481,117268,2421,66,536739
177,"2021-01-17","facebook_tier1","social",349043,10114669,636309,64664,5180,13,495661
178,"2021-01-17","facebOOK_tier2","social",348934,2925955,314898,62786,134,337,1400033
179,"2021-01-17","google_hot","search",89459845,8039826,444492,122071,4003,473,309574
180,"2021-01-17","google_wide","search",127823,16294032,921580,230054,146,108,604356
181,"2021-01-17","youtube_blogger","influencer",10934,7150159,168743,20529,2039,255,1476169
182,"2021-01-17","instagram_tier1","social",9034945,8983467,476327,6063,1461,466,1193306
183,"2021-01-17","instagram_tier2","social",983498,3580547,297363,762,7728,2,2981241
184,"2021-01-17","facebook_retargeting","social",4387490,17463959,640677,84330,854,63,95277
185,"2021-01-17","facebook_lal","social",544756,15406330,1148433,26199,673,126,950700
186,"2021-01-17","instagram_blogger","influencer",374754,10320873,107312,25212,861,120,226921
187,"2021-01-17","banner_partner","media",39889,3933020,467523,5562,340,73,919251
188,"2021-01-18","facebook_tier1","social",349043,3641481,26219,7495,10380,28,25628
189,"2021-01-18","facebOOK_tier2","social",348934,6054424,756658,15077,60,39,433393
190,"2021-01-18","google_hot","search",89459845,2931109,80422,30660,5605,155,2643943
191,"2021-01-18","google_wide","search",127823,6449399,48389,5463,1633,471,1001984
192,"2021-01-18","youtube_blogger","influencer",10934,8096251,378596,106763,276,7,1697829
193,"2021-01-18","instagram_tier1","social",9034945,4524499,271979,139319,4614,211,626106
194,"2021-01-18","instagram_tier2","social",983498,19454888,190781,124543,1000,188,794796
195,"2021-01-18","facebook_retargeting","social",4387490,3230284,1473123,28714,2370,43,26523
196,"2021-01-18","facebook_lal","social",544756,10914857,293620,68445,1357,176,3068336
197,"2021-01-18","instagram_blogger","influencer",374754,5416151,198088,301687,1142,61,127909
198,"2021-01-18","banner_partner","media",39889,3317785,68860,66295,2951,10,1594452
199,"2021-01-19","facebook_tier1","social",349043,8850704,490546,79133,1008,258,1689773
200,"2021-01-19","facebOOK_tier2","social",348934,10520653,373144,23784,487,201,798713
201,"2021-01-19","google_hot","search",89459845,5272945,228486,134101,873,69,149897
202,"2021-01-19","google_wide","search",127823,21760196,35593,26822,2576,183,917762
203,"2021-01-19","youtube_blogger","influencer",10934,7681592,1463424,34122,817,192,1244484
204,"2021-01-19","instagram_tier1","social",9034945,22595960,412630,245244,3138,77,1190805
205,"2021-01-19","instagram_tier2","social",983498,5771036,292517,158947,10068,1,177466
206,"2021-01-19","facebook_retargeting","social",4387490,7365152,471786,45727,4178,82,2037470
207,"2021-01-19","facebook_lal","social",544756,13770779,538771,73790,2210,242,1615542
208,"2021-01-19","instagram_blogger","influencer",374754,4351606,8871,49097,356,142,272759
209,"2021-01-19","banner_partner","media",39889,23690845,233136,8860,763,284,1482382
210,"2021-01-20","facebook_tier1","social",349043,23656357,69585,7806,194,183,495442
211,"2021-01-20","facebOOK_tier2","social",348934,20642959,1082186,40744,1859,257,201297
212,"2021-01-20","google_hot","search",89459845,2176980,176011,28638,300,104,264885
213,"2021-01-20","google_wide","search",127823,13756449,1064863,92984,1122,97,242186
214,"2021-01-20","youtube_blogger","influencer",10934,15721453,851618,98936,7832,125,827785
215,"2021-01-20","instagram_tier1","social",9034945,23963435,228617,38433,3248,84,965467
216,"2021-01-20","instagram_tier2","social",983498,15395740,88807,221659,1720,215,870544
217,"2021-01-20","facebook_retargeting","social",4387490,19232721,393620,138596,1539,113,3451577
218,"2021-01-20","facebook_lal","social",544756,9189350,49816,46407,641,130,2982029
219,"2021-01-20","instagram_blogger","influencer",374754,11416165,1658551,42899,723,53,128099
220,"2021-01-20","banner_partner","media",39889,7504589,88194,59344,2046,6,641029
221,"2021-01-21","facebook_tier1","social",349043,19418200,278324,15997,1487,124,761716
222,"2021-01-21","facebOOK_tier2","social",348934,7081262,566387,7249,386,72,726431
223,"2021-01-21","google_hot","search",89459845,9151350,665049,182734,83,251,140281
224,"2021-01-21","google_wide","search",127823,11365882,142889,15175,6894,145,777923
225,"2021-01-21","youtube_blogger","influencer",10934,17416053,994820,252758,2048,248,219517
226,"2021-01-21","instagram_tier1","social",9034945,20433113,273096,58304,529,245,3371998
227,"2021-01-21","instagram_tier2","social",983498,1686331,140216,97536,424,347,3397494
228,"2021-01-21","facebook_retargeting","social",4387490,4382069,866791,67313,334,283,537927
229,"2021-01-21","facebook_lal","social",544756,12987060,1670996,22412,1497,144,3321966
230,"2021-01-21","instagram_blogger","influencer",374754,7274932,1086271,9435,206,16,589504
231,"2021-01-21","banner_partner","media",39889,5152097,230443,218961,1127,67,103037
232,"2021-01-22","facebook_tier1","social",349043,24326054,102309,267127,364,124,1594612
233,"2021-01-22","facebOOK_tier2","social",348934,6793649,15761,10937,1742,282,587629
234,"2021-01-22","google_hot","search",89459845,21252318,69099,72139,1977,59,193606
235,"2021-01-22","google_wide","search",127823,17236648,21292,221,2230,494,1298170
236,"2021-01-22","youtube_blogger","influencer",10934,19967448,98987,305380,1226,36,77026
237,"2021-01-22","instagram_tier1","social",9034945,7203722,241003,19235,11283,456,1404206
238,"2021-01-22","instagram_tier2","social",983498,16611583,49039,50177,1700,39,1380404
239,"2021-01-22","facebook_retargeting","social",4387490,3477165,1349482,17515,1665,82,720337
240,"2021-01-22","facebook_lal","social",544756,8111296,157947,7986,1087,60,367877
241,"2021-01-22","instagram_blogger","influencer",374754,4955634,1630467,32220,819,252,708233
242,"2021-01-22","banner_partner","media",39889,11421618,103292,56784,93,54,984040
243,"2021-01-23","facebook_tier1","social",349043,18667395,414740,117492,1841,15,461699
244,"2021-01-23","facebOOK_tier2","social",348934,12783306,7813,138155,214,85,2164816
245,"2021-01-23","google_hot","search",89459845,7251062,39345,122879,1314,218,1441773
246,"2021-01-23","google_wide","search",127823,8886564,482741,141949,31,8,3613738
247,"2021-01-23","youtube_blogger","influencer",10934,9588939,197471,53281,2852,129,1521355
248,"2021-01-23","instagram_tier1","social",9034945,6394682,238840,18042,2320,414,1217925
249,"2021-01-23","instagram_tier2","social",983498,21917207,283714,4401,3569,54,105288
250,"2021-01-23","facebook_retargeting","social",4387490,8006519,598806,140529,2,167,121666
251,"2021-01-23","facebook_lal","social",544756,15078229,145202,185573,3555,27,793007
252,"2021-01-23","instagram_blogger","influencer",374754,6385951,1048036,147685,329,50,44077
253,"2021-01-23","banner_partner","media",39889,16391275,241566,155372,3112,125,327037
254,"2021-01-24","facebook_tier1","social",349043,11328908,371852,96192,7315,85,799506
255,"2021-01-24","facebOOK_tier2","social",348934,15570574,259230,10804,130,26,783698
256,"2021-01-24","google_hot","search",89459845,4381641,227126,240887,727,67,1047367
257,"2021-01-24","google_wide","search",127823,19827812,342316,44182,1040,14,757494
258,"2021-01-24","youtube_blogger","influencer",10934,11409613,215219,39073,1562,61,255265
259,"2021-01-24","instagram_tier1","social",9034945,8458965,162180,99710,313,256,987322
260,"2021-01-24","instagram_tier2","social",983498,7882918,312705,55676,819,95,393296
261,"2021-01-24","facebook_retargeting","social",4387490,9865112,737834,14603,9577,248,628735
262,"2021-01-24","facebook_lal","social",544756,12226121,205474,47522,2081,49,889126
263,"2021-01-24","instagram_blogger","influencer",374754,22933379,337108,298417,20,415,1088889
264,"2021-01-24","banner_partner","media",39889,4858920,415637,4178,9700,3,491780
265,"2021-01-25","facebook_tier1","social",349043,9673664,49618,191756,5433,76,8120
266,"2021-01-25","facebOOK_tier2","social",348934,3933832,63946,6791,1777,64,1551436
267,"2021-01-25","google_hot","search",89459845,3184334,1349320,47219,2527,65,754923
268,"2021-01-25","google_wide","search",127823,7449240,57892,16087,2026,116,1534977
269,"2021-01-25","youtube_blogger","influencer",10934,19510491,151591,131134,676,166,1500874
270,"2021-01-25","instagram_tier1","social",9034945,5874747,337232,17582,2870,4,788774
271,"2021-01-25","instagram_tier2","social",983498,6747984,1056309,58881,2206,67,1072793
272,"2021-01-25","facebook_retargeting","social",4387490,6149201,902884,11658,1561,2,1328325
273,"2021-01-25","facebook_lal","social",544756,15498040,78286,45194,619,29,605290
274,"2021-01-25","instagram_blogger","influencer",374754,16457056,241912,303659,8213,478,647792
275,"2021-01-25","banner_partner","media",39889,7993797,39068,30053,914,29,627188
276,"2021-01-26","facebook_tier1","social",349043,16794483,681871,117139,640,186,367857
277,"2021-01-26","facebOOK_tier2","social",348934,20762442,218175,139786,3672,431,537299
278,"2021-01-26","google_hot","search",89459845,8401873,301446,160354,283,99,1349080
279,"2021-01-26","google_wide","search",127823,17688871,127938,28832,1294,202,1113238
280,"2021-01-26","youtube_blogger","influencer",10934,24477662,396552,243200,5933,64,297663
281,"2021-01-26","instagram_tier1","social",9034945,23120707,116532,239089,3439,50,1760343
282,"2021-01-26","instagram_tier2","social",983498,10035438,1722199,9378,2204,6,630473
283,"2021-01-26","facebook_retargeting","social",4387490,19433967,228170,57373,632,102,539849
284,"2021-01-26","facebook_lal","social",544756,16763909,213247,53875,559,44,877930
285,"2021-01-26","instagram_blogger","influencer",374754,9766784,394878,26917,932,90,1102216
286,"2021-01-26","banner_partner","media",39889,10707276,256694,53697,79,123,1625022
287,"2021-01-27","facebook_tier1","social",349043,5530894,11412,250762,1959,30,942694
288,"2021-01-27","facebOOK_tier2","social",348934,2791360,611099,121601,944,177,1096321
289,"2021-01-27","google_hot","search",89459845,22079105,762650,25355,2665,105,56660
290,"2021-01-27","google_wide","search",127823,3366192,596184,76422,503,62,594749
291,"2021-01-27","youtube_blogger","influencer",10934,5395334,336886,273433,11108,137,711116
292,"2021-01-27","instagram_tier1","social",9034945,8942102,665319,25803,1279,167,682791
293,"2021-01-27","instagram_tier2","social",983498,18923516,413943,143548,1429,73,303706
294,"2021-01-27","facebook_retargeting","social",4387490,22312257,263410,35798,4144,391,175034
295,"2021-01-27","facebook_lal","social",544756,4339229,334311,258844,1903,362,227496
296,"2021-01-27","instagram_blogger","influencer",374754,14429548,1671944,19913,5081,120,93489
297,"2021-01-27","banner_partner","media",39889,16335353,166242,6268,693,96,1466536
298,"2021-01-28","facebook_tier1","social",349043,4631520,105353,11875,265,80,497968
299,"2021-01-28","facebOOK_tier2","social",348934,19656989,303219,148821,1328,161,805698
300,"2021-01-28","google_hot","search",89459845,9130657,256991,61709,493,32,1320520
301,"2021-01-28","google_wide","search",127823,18682301,1351249,9676,1066,181,444166
302,"2021-01-28","youtube_blogger","influencer",10934,17278081,109114,66732,3419,62,659508
303,"2021-01-28","instagram_tier1","social",9034945,20499899,821716,22273,2652,270,298321
304,"2021-01-28","instagram_tier2","social",983498,8039491,534411,143043,7647,118,877489
305,"2021-01-28","facebook_retargeting","social",4387490,10078224,78436,58966,5540,183,1940565
306,"2021-01-28","facebook_lal","social",544756,19087659,155256,60896,2165,16,75363
307,"2021-01-28","instagram_blogger","influencer",374754,11027167,197070,32261,1941,132,244773
308,"2021-01-28","banner_partner","media",39889,3595717,493951,23371,1084,64,420668
309,"2021-01-29","facebook_tier1","social",349043,22433942,54383,208389,5372,299,515400
310,"2021-01-29","facebOOK_tier2","social",348934,19733284,10529,18182,1547,125,836306
311,"2021-01-29","google_hot","search",89459845,5755626,335375,23423,1850,307,103753
312,"2021-01-29","google_wide","search",127823,3486208,637344,14801,2258,125,1793005
313,"2021-01-29","youtube_blogger","influencer",10934,6216825,105496,20247,728,58,271822
314,"2021-01-29","instagram_tier1","social",9034945,7954945,529442,66147,956,112,220952
315,"2021-01-29","instagram_tier2","social",983498,18889947,186680,30149,463,172,455053
316,"2021-01-29","facebook_retargeting","social",4387490,15485846,292881,44212,3838,196,2239043
317,"2021-01-29","facebook_lal","social",544756,7101301,30512,314647,6552,83,2062796
318,"2021-01-29","instagram_blogger","influencer",374754,4365040,310934,5457,836,2,791571
319,"2021-01-29","banner_partner","media",39889,17975086,144757,157086,5076,23,3778707
320,"2021-01-30","facebook_tier1","social",349043,24817826,302094,12426,1652,62,2453567
321,"2021-01-30","facebOOK_tier2","social",348934,11780732,1571259,4821,5461,83,307006
322,"2021-01-30","google_hot","search",89459845,10738895,31541,137077,1821,145,432261
323,"2021-01-30","google_wide","search",127823,7464474,971265,100278,979,258,7045
324,"2021-01-30","youtube_blogger","influencer",10934,16196628,167066,38409,2942,100,138984
325,"2021-01-30","instagram_tier1","social",9034945,7878978,94354,136209,7253,16,1534336
326,"2021-01-30","instagram_tier2","social",983498,11516344,401238,13578,2966,82,1126292
327,"2021-01-30","facebook_retargeting","social",4387490,11678939,1227503,51835,9610,14,4004
328,"2021-01-30","facebook_lal","social",544756,5810295,154012,12739,317,105,289347
329,"2021-01-30","instagram_blogger","influencer",374754,22116575,175216,29918,1533,235,839949
330,"2021-01-30","banner_partner","media",39889,17443387,447947,60717,2338,177,216379
331,"2021-01-31","facebook_tier1","social",349043,2259132,431272,7187,277,87,702678
332,"2021-01-31","facebOOK_tier2","social",348934,6119461,157473,32037,10583,89,3173080
333,"2021-01-31","google_hot","search",89459845,7408511,1405017,76638,30,77,272735
334,"2021-01-31","google_wide","search",127823,16257042,428718,165572,1165,240,1293349
335,"2021-01-31","youtube_blogger","influencer",10934,13284479,251480,103947,3120,145,304919
336,"2021-01-31","instagram_tier1","social",9034945,9124363,69062,13244,4144,83,498138
337,"2021-01-31","instagram_tier2","social",983498,7819719,75663,20916,2480,71,859979
338,"2021-01-31","facebook_retargeting","social",4387490,10822905,174835,122851,950,166,594710
